% TABLE LEGEND
%  F1:  Maximum Fisher's discriminant ratio 
%  F1v: Directional-vector maximum Fisher's discriminant ratio 
%  F2:  Overlap of the per-class bounding boxes 
%  F3:  Maximum (individual) feature efficiency 
%  F4:  Collective feature efficiency (sum of each feature efficiency) 
%  L1:  Minimized sum of the error distance of a linear classifier (linear SMO) 
%  L2:  Training error of a linear classifier (linear SMO) 
%  L3:  Nonlinearity of a linear classifier (linear SMO) 
%  N1:  Fraction of points on the class boundary 
%  N2:  Ratio of average intra/inter class nearest neighbor distance 
%  N3:  Leave-one-out error rate of the one-nearest neighbor classifier 
%  N4:  Nonlinearity of the one-nearest neighbor classifier 
%  T1:  Fraction of maximum covering spheres 
%  T2:  Average number of points per dimension 

@relation combinador_ensemble

@attribute f1 numeric
@attribute f1v numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute l1 numeric
@attribute l2 numeric
@attribute l3 numeric
@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute AVERAGE_RULE {0,1}
@attribute PRODUCT_RULE {0,1}
@attribute MAJORITY_VOTING_RULE {0,1}
@attribute MIN_RULE {0,1}
@attribute MAX_RULE {0,1}

@data
3102.6666666667,70247,166.6666666667,693.8333333333,901.6666666667,457.6666666667,226.8333333333,310.5,11.8333333333,25.5,2.6666666667,59.5,999.3333333333,23632,0,0,1,0,0
1794.8333333333,52056.6666666667,166.6666666667,658.6666666667,922.5,446.8333333333,222.1666666667,318.8333333333,15.8333333333,23.6666666667,2.6666666667,61.7595,999.5,23632,0,1,0,0,0
1849.1666666667,47781.5,166.6666666667,666,923.8333333333,449.1666666667,225.3333333333,324.8333333333,19.3333333333,26.1666666667,5.1666666667,71.5,997.1666666667,23632,0,1,0,0,0
2083,42683.1666666667,166.6666666667,663,898.6666666667,467.8333333333,226.8333333333,319.3333333333,15.3333333333,20.8333333333,3.8333333333,67.1666666667,999.5,23632,0,0,0,0,0
2093.1666666667,147141.333333333,166.6666666667,657.8333333333,883.6666666667,423.1666666667,228.5,323,18.3333333333,29.8333333333,5.1666666667,70.6666666667,999.3333333333,23632,0,1,0,1,0
3161.8333333333,46692.1666666667,166.6666666667,691.1666666667,919,464,222,317,15.1666666667,22.3333333333,2.1666666667,63.2595,997.5,23632,0,1,0,0,0
2467,44847.5,166.6666666667,688.3333333333,917.5,450.1666666667,227.1666666667,335,16.8333333333,21.5,2.5,69.5,998.3333333333,23632,0,0,0,1,0
2052.3333333333,35294.1666666667,166.6666666667,656.8333333333,947.1666666667,448.5,227.6666666667,327.3333333333,15.5,25,2.8333333333,68.1666666667,999.5,23632,0,1,0,1,0
3260.3333333333,43824.5,166.6666666667,706.6666666667,917.8333333333,476.8333333333,227.8333333333,332.5,16.5,24.3333333333,4,54.5928333333,999,23632,0,1,0,0,0
1795.1666666667,74044.8333333333,166.6666666667,658.5,912.6666666667,437.1666666667,222.6666666667,315.3333333333,16.6666666667,23.5,2.5,81.7595,999.3333333333,23632,0,1,0,0,0
255.125,114657.916666667,41.6666666667,844.1666666667,974.125,181.7916666667,68,448.875,33.9583333333,168.9166666667,9.125,12.9166666667,990.625,3275,0,0,0,1,0
333.8333333333,120192.083333333,41.6666666667,840.4583333333,965.875,187.625,70.2083333333,448.9583333333,31.4166666667,186.2916666667,10.125,27,994.2916666667,3275,0,1,0,0,0
265.8333333333,110374.458333333,83.3333333333,844.5416666667,973.4583333333,219.375,110.1666666667,411.0416666667,33.5416666667,148.5,6.1666666667,20.125,996.875,3275,0,0,0,1,0
